구별,소계,인구수,한국인,외국인,고령자,외국인비율,고령자비율
강남구,3238,549255,544257,4998,66412,0.909959854712292,12.091287289146207
강동구,1010,434992,430705,4287,58280,0.9855353661676537,13.397947548460662
강북구,831,324276,320576,3700,57741,1.1410033428314152,17.80612811308885
강서구,911,605068,598416,6652,78814,1.0993805654901596,13.025643398758488
관악구,2109,521685,503956,17729,71840,3.398410918466124,13.77076204989601
광진구,878,369999,355032,14967,45202,4.045146067962346,12.2167897751075
구로구,1884,439234,406144,33090,61293,7.53356980561614,13.954520824890604
금천구,1348,252359,232760,19599,35299,7.766317032481504,13.987612884818848
노원구,1566,551069,546911,4158,76466,0.7545334613269844,13.875939310685231
도봉구,825,342990,340876,2114,55499,0.6163444998396455,16.18093821977317
동대문구,1870,366101,350556,15545,57096,4.246096022682265,15.595696269608661
동작구,1302,407925,395513,12412,58803,3.0427161855733282,14.415149843721272
마포구,980,385032,374106,10926,50559,2.8376862182883498,13.131116374742879
서대문구,1254,322497,310584,11913,50278,3.6939878510497772,15.590222544705842
서초구,2297,441539,437407,4132,54887,0.9358176740899445,12.43083849897744
성동구,1327,317197,309251,7946,42581,2.505067828510358,13.424149660936264
성북구,1651,449574,438031,11543,67447,2.5675417172701267,15.00242451743206
송파구,1081,673582,666892,6690,80220,0.9931975616925631,11.909463138860598
양천구,2482,469945,466121,3824,57442,0.813712242922044,12.223132494228048
영등포구,1277,403724,368577,35147,55364,8.705699933618016,13.71332890786775
용산구,2096,245087,229391,15696,37443,6.404256447710405,15.277432095541583
은평구,2108,487849,483417,4432,76643,0.9084778281804411,15.710393994863164
종로구,1619,163086,153396,9690,26622,5.941650417571098,16.323902726169017
중구,1023,135258,125815,9443,21902,6.981472445252776,16.19275754484023
중랑구,916,409058,404313,4745,61271,1.1599822030127758,14.978560497533358
